shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
4-out,-34.470737,-57.852162,12
4-out,-34.470737,-57.852162,13
4-out,-34.470737,-57.852162,14
4-out,-34.470737,-57.852162,15
4-out,-34.470737,-57.852162,16
4-out,-34.470737,-57.852162,17
4-out,-34.470723,-57.852196,18
4-out,-34.470723,-57.852196,19
4-out,-34.470723,-57.852196,20
4-out,-34.470723,-57.852196,21
4-out,-34.470723,-57.852196,22
4-out,-34.470712,-57.852140,23
4-out,-34.470712,-57.852140,24
4-out,-34.470712,-57.852140,25
4-out,-34.470711,-57.852136,26
4-out,-34.470711,-57.852136,27
4-out,-34.470711,-57.852136,28
4-out,-34.470711,-57.852136,29
4-out,-34.470711,-57.852136,30
4-out,-34.470711,-57.852136,31
4-out,-34.470685,-57.852126,32
4-out,-34.470685,-57.852126,33
4-out,-34.470685,-57.852126,34
4-out,-34.470685,-57.852126,35
4-out,-34.470685,-57.852126,36
4-out,-34.470685,-57.852126,37
4-out,-34.470683,-57.852119,38
4-out,-34.470683,-57.852119,39
4-out,-34.470683,-57.852119,40
4-out,-34.470679,-57.852095,41
4-out,-34.470610,-57.851081,42
4-out,-34.470616,-57.849645,43
4-out,-34.470629,-57.849589,44
4-out,-34.470601,-57.847432,45
4-out,-34.470601,-57.847432,46
4-out,-34.470601,-57.847432,47
4-out,-34.470601,-57.847432,48
4-out,-34.470582,-57.847300,49
4-out,-34.470542,-57.845104,50
4-out,-34.470542,-57.845104,51
4-out,-34.470532,-57.845005,52
4-out,-34.470451,-57.843183,53
4-out,-34.470451,-57.843183,54
4-out,-34.470160,-57.840456,55
4-out,-34.467653,-57.840544,56
4-out,-34.467599,-57.840581,57
4-out,-34.463140,-57.840719,58
4-out,-34.462852,-57.840553,59
4-out,-34.462868,-57.838830,60
4-out,-34.462840,-57.838720,61
4-out,-34.462831,-57.838612,62
4-out,-34.463236,-57.836224,63
4-out,-34.464088,-57.833502,64
4-out,-34.463376,-57.832437,65
4-out,-34.463353,-57.832393,66
4-out,-34.462361,-57.829659,67
4-out,-34.463121,-57.829447,68
4-out,-34.466613,-57.831685,69
4-out,-34.469177,-57.831332,70
4-out,-34.469091,-57.828356,71
4-out,-34.468229,-57.824055,72
4-out,-34.468185,-57.823972,73
4-out,-34.464077,-57.823984,74
4-out,-34.464046,-57.823974,75
4-out,-34.462350,-57.823403,76
4-out,-34.460566,-57.823204,77
4-out,-34.460261,-57.823387,78
4-out,-34.461261,-57.825863,79
4-out,-34.460726,-57.824846,80
4-out,-34.458315,-57.821017,81
4-out,-34.456006,-57.816702,82
4-out,-34.455235,-57.815174,83
4-out,-34.452990,-57.815759,84
4-out,-34.452903,-57.815818,85
4-out,-34.448236,-57.814406,86
4-out,-34.448186,-57.814439,87
4-out,-34.446852,-57.812748,88
4-in,-34.433358,-57.801218,1
4-in,-34.433358,-57.801218,2
4-in,-34.433358,-57.801218,3
4-in,-34.433358,-57.801218,4
4-in,-34.433358,-57.801218,5
4-in,-34.433349,-57.801204,6
4-in,-34.433608,-57.800751,7
4-in,-34.433787,-57.800786,8
4-in,-34.434131,-57.800955,9
4-in,-34.435594,-57.801705,10
4-in,-34.436770,-57.802296,11
4-in,-34.436785,-57.802333,12
4-in,-34.438140,-57.803030,13
4-in,-34.438159,-57.803054,14
4-in,-34.440429,-57.804301,15
4-in,-34.440416,-57.804343,16
4-in,-34.442223,-57.806681,17
4-in,-34.442527,-57.807087,18
4-in,-34.443740,-57.808710,19
4-in,-34.443740,-57.808710,20
4-in,-34.443740,-57.808710,21
4-in,-34.443776,-57.808735,22
4-in,-34.445008,-57.810369,23
4-in,-34.446674,-57.812690,24
4-in,-34.446691,-57.812700,25
4-in,-34.448585,-57.814672,26
4-in,-34.448612,-57.814682,27
4-in,-34.450826,-57.815295,28
4-in,-34.453013,-57.815955,29
4-in,-34.455137,-57.816547,30
4-in,-34.455915,-57.817247,31
4-in,-34.455919,-57.817264,32
4-in,-34.457326,-57.819572,33
4-in,-34.459752,-57.823211,34
4-in,-34.461080,-57.826631,35
4-in,-34.460382,-57.823518,36
4-in,-34.460385,-57.823488,37
4-in,-34.461460,-57.823110,38
4-in,-34.462194,-57.823377,39
4-in,-34.462205,-57.823371,40
4-in,-34.463767,-57.823882,41
4-in,-34.463980,-57.823981,42
4-in,-34.464007,-57.823964,43
4-in,-34.467954,-57.824078,44
4-in,-34.468064,-57.824089,45
4-in,-34.468582,-57.826231,46
4-in,-34.469095,-57.829151,47
4-in,-34.468946,-57.831269,48
4-in,-34.465615,-57.831202,49
4-in,-34.465604,-57.831206,50
4-in,-34.463444,-57.829846,51
4-in,-34.461738,-57.827805,52
4-in,-34.457069,-57.830773,53
4-in,-34.456307,-57.832135,54
4-in,-34.457331,-57.830625,55
4-in,-34.458029,-57.829801,56
4-in,-34.459700,-57.827791,57
4-in,-34.461752,-57.827950,58
4-in,-34.463164,-57.832211,59
4-in,-34.463446,-57.834787,60
4-in,-34.463431,-57.834887,61
4-in,-34.462643,-57.837964,62
4-in,-34.462610,-57.838259,63
4-in,-34.462667,-57.840745,64
4-in,-34.462784,-57.842971,65
4-in,-34.465107,-57.842905,66
4-in,-34.468410,-57.842825,67
4-in,-34.468462,-57.842825,68
4-in,-34.470270,-57.842751,69
4-in,-34.472084,-57.842714,70
4-in,-34.472162,-57.842482,71
4-in,-34.470243,-57.840565,72
4-in,-34.470409,-57.843273,73
4-in,-34.470452,-57.844696,74
4-in,-34.470514,-57.846681,75
4-in,-34.470488,-57.847219,76
5-out-r1,-34.456030,-57.816733,1
5-out-r1,-34.456033,-57.816702,2
5-out-r1,-34.455402,-57.815289,3
5-out-r1,-34.453117,-57.815120,4
5-out-r1,-34.452090,-57.815563,5
5-out-r1,-34.449862,-57.814897,6
5-out-r1,-34.447741,-57.814003,7
5-out-r1,-34.446115,-57.811827,8
5-out-r1,-34.444550,-57.809729,9
5-out-r1,-34.443421,-57.808218,10
5-out-r1,-34.442137,-57.806491,11
5-in-r1,-34.440437,-57.804340,1
5-in-r1,-34.440437,-57.804340,2
5-in-r1,-34.440437,-57.804340,3
5-in-r1,-34.440437,-57.804340,4
5-in-r1,-34.440422,-57.804378,5
5-in-r1,-34.441190,-57.805335,6
5-in-r1,-34.442453,-57.807054,7
5-in-r1,-34.442447,-57.807055,8
5-in-r1,-34.443484,-57.808444,9
5-in-r1,-34.444994,-57.810481,10
5-in-r1,-34.446120,-57.811962,11
5-in-r1,-34.447535,-57.813848,12
5-in-r1,-34.448574,-57.814712,13
5-in-r1,-34.448623,-57.814723,14
5-in-r1,-34.450540,-57.815286,15
5-in-r1,-34.452233,-57.815731,16
5-in-r1,-34.454825,-57.816453,17
5-in-r1,-34.456522,-57.818343,18
5-in-r1,-34.458518,-57.821344,19
5-in-r1,-34.460519,-57.824500,20
5-in-r1,-34.461397,-57.826928,21
5-in-r1,-34.460913,-57.824916,22
5-in-r1,-34.459941,-57.822324,23
5-in-r1,-34.461455,-57.822174,24
5-in-r1,-34.464043,-57.822443,25
5-in-r1,-34.466292,-57.822713,26
5-in-r1,-34.466723,-57.824404,27
5-in-direct,-34.447523,-57.810829,1
5-in-direct,-34.447523,-57.810829,2
5-in-direct,-34.447523,-57.810829,3
5-in-direct,-34.447523,-57.810829,4
5-in-direct,-34.447513,-57.810828,5
5-in-direct,-34.447513,-57.810828,6
5-in-direct,-34.447513,-57.810828,7
5-in-direct,-34.447513,-57.810828,8
5-in-direct,-34.447513,-57.810828,9
5-in-direct,-34.447513,-57.810828,10
5-in-direct,-34.447512,-57.810828,11
5-in-direct,-34.447512,-57.810828,12
5-in-direct,-34.447512,-57.810828,13
5-in-direct,-34.447512,-57.810828,14
5-in-direct,-34.447512,-57.810828,15
5-in-direct,-34.447512,-57.810828,16
5-in-direct,-34.447511,-57.810829,17
5-in-direct,-34.447511,-57.810829,18
5-in-direct,-34.447511,-57.810829,19
5-in-direct,-34.447511,-57.810829,20
5-in-direct,-34.447511,-57.810829,21
5-in-direct,-34.447511,-57.810829,22
5-in-direct,-34.447508,-57.810833,23
5-in-direct,-34.447508,-57.810833,24
5-in-direct,-34.447508,-57.810833,25
5-in-direct,-34.447508,-57.810833,26
5-in-direct,-34.447404,-57.810403,27
5-in-direct,-34.447414,-57.810389,28
5-in-direct,-34.448555,-57.807905,29
5-in-direct,-34.448577,-57.807886,30
5-in-direct,-34.449276,-57.806326,31
5-in-direct,-34.450126,-57.804299,32
5-in-direct,-34.448915,-57.803477,33
5-in-direct,-34.447733,-57.802593,34
5-in-direct,-34.447720,-57.802563,35
5-in-direct,-34.446891,-57.802423,36
5-in-direct,-34.446085,-57.803819,37
5-in-direct,-34.446066,-57.803834,38
5-in-direct,-34.445229,-57.805342,39
5-in-direct,-34.445229,-57.805342,40
5-in-direct,-34.445229,-57.805342,41
5-in-direct,-34.445206,-57.805359,42
5-in-direct,-34.444653,-57.806226,43
5-in-direct,-34.443699,-57.808726,44
5-in-direct,-34.443682,-57.808745,45
5-in-direct,-34.444857,-57.810264,46
5-in-direct,-34.446038,-57.811870,47
5-in-direct,-34.447719,-57.814080,48
5-in-direct,-34.450487,-57.815227,49
5-in-direct,-34.450495,-57.815241,50
5-in-direct,-34.452953,-57.815944,51
5-in-direct,-34.453134,-57.815976,52
5-in-direct,-34.455079,-57.816530,53
5-in-direct,-34.455903,-57.817259,54
5-in-direct,-34.457164,-57.819364,55
5-in-direct,-34.459477,-57.822856,56
5-in-direct,-34.460501,-57.826473,57
5-in-direct,-34.457961,-57.829627,58
5-in-direct,-34.456330,-57.832055,59
5-in-direct,-34.456330,-57.832088,60
5-in-direct,-34.456991,-57.831123,61
5-in-direct,-34.458016,-57.829904,62
5-in-direct,-34.458046,-57.829854,63
5-in-direct,-34.459410,-57.828177,64
5-in-direct,-34.461325,-57.827054,65
5-in-direct,-34.462326,-57.830092,66
5-in-direct,-34.463094,-57.832041,67
5-in-direct,-34.463440,-57.834813,68
5-in-direct,-34.463455,-57.834837,69
5-in-direct,-34.462890,-57.836970,70
5-in-direct,-34.462667,-57.837942,71
5-in-direct,-34.462646,-57.840309,72
5-in-direct,-34.462792,-57.842992,73
5-in-direct,-34.464969,-57.842965,74
5-in-direct,-34.468405,-57.842853,75
5-in-direct,-34.468405,-57.842853,76
5-in-direct,-34.468436,-57.842840,77
5-in-direct,-34.470267,-57.842793,78
8-out,-34.470700,-57.852231,1
8-out,-34.470700,-57.852231,2
8-out,-34.470700,-57.852231,3
8-out,-34.470700,-57.852231,4
8-out,-34.470700,-57.852231,5
8-out,-34.470665,-57.852099,6
8-out,-34.470665,-57.852099,7
8-out,-34.470662,-57.852059,8
8-out,-34.470604,-57.850800,9
8-out,-34.470566,-57.848421,10
8-out,-34.470586,-57.847396,11
8-out,-34.470603,-57.847296,12
8-out,-34.470560,-57.845155,13
8-out,-34.470560,-57.845155,14
8-out,-34.470500,-57.844018,15
8-out,-34.470473,-57.843321,16
8-out,-34.470446,-57.842958,17
8-out,-34.470473,-57.842762,18
8-out,-34.472043,-57.842738,19
8-out,-34.472127,-57.842772,20
8-out,-34.472201,-57.842607,21
8-out,-34.470484,-57.840569,22
8-out,-34.468235,-57.840563,23
8-out,-34.465483,-57.840635,24
8-out,-34.463091,-57.840683,25
8-out,-34.462871,-57.838693,26
8-out,-34.462871,-57.838693,27
8-out,-34.462871,-57.838693,28
8-out,-34.462854,-57.838632,29
8-out,-34.463677,-57.834560,30
8-out,-34.463677,-57.834560,31
8-out,-34.463677,-57.834560,32
8-out,-34.463677,-57.834560,33
8-out,-34.463677,-57.834560,34
8-out,-34.463677,-57.834560,35
8-out,-34.463677,-57.834560,36
8-out,-34.463889,-57.833798,37
8-out,-34.464067,-57.833467,38
8-out,-34.462635,-57.830661,39
8-out,-34.461527,-57.827033,40
8-out,-34.459565,-57.827767,41
8-out,-34.456331,-57.832056,42
8-out,-34.456378,-57.832160,43
8-out,-34.458024,-57.829886,44
8-out,-34.458024,-57.829886,45
8-out,-34.458048,-57.829828,46
8-out,-34.461113,-57.826923,47
8-out,-34.460881,-57.825254,48
8-out,-34.458770,-57.821695,49
8-out,-34.456770,-57.818703,50
8-out,-34.456128,-57.815666,51
8-out,-34.453391,-57.814558,52
8-out,-34.452616,-57.815681,53
8-out,-34.451057,-57.815213,54
8-out,-34.451015,-57.815208,55
8-out,-34.448258,-57.814393,56
8-out,-34.448237,-57.814373,57
8-out,-34.446588,-57.812460,58
8-out,-34.445119,-57.810469,59
8-out,-34.444210,-57.809261,60
8-out,-34.443196,-57.807863,61
8-out,-34.442307,-57.806744,62
8-out,-34.442128,-57.806416,63
8-out,-34.440472,-57.804215,64
8-out,-34.440292,-57.804006,65
8-out,-34.441633,-57.801278,66
8-out,-34.442295,-57.799877,67
8-out,-34.443233,-57.797549,68
8-out,-34.443692,-57.793586,69
8-out,-34.443692,-57.793586,70
8-out,-34.443735,-57.793560,71
8-in,-34.443975,-57.791033,1
8-in,-34.443975,-57.791033,2
8-in,-34.443975,-57.791033,3
8-in,-34.443975,-57.791033,4
8-in,-34.443975,-57.791033,5
8-in,-34.443975,-57.791033,6
8-in,-34.443970,-57.791063,7
8-in,-34.443760,-57.792831,8
8-in,-34.443674,-57.793662,9
8-in,-34.443469,-57.795299,10
8-in,-34.443138,-57.798075,11
8-in,-34.441936,-57.800606,12
8-in,-34.441935,-57.800620,13
8-in,-34.440390,-57.804302,14
8-in,-34.440426,-57.804297,15
8-in,-34.441358,-57.805555,16
8-in,-34.442474,-57.807077,17
8-in,-34.442474,-57.807077,18
8-in,-34.442495,-57.807091,19
8-in,-34.443716,-57.808726,20
8-in,-34.443756,-57.808781,21
8-in,-34.445037,-57.810505,22
8-in,-34.445037,-57.810505,23
8-in,-34.445063,-57.810559,24
8-in,-34.445999,-57.811778,25
8-in,-34.445999,-57.811778,26
8-in,-34.448616,-57.814706,27
8-in,-34.448616,-57.814706,28
8-in,-34.448664,-57.814724,29
8-in,-34.450525,-57.815249,30
8-in,-34.450592,-57.815271,31
8-in,-34.452942,-57.815917,32
8-in,-34.455248,-57.816594,33
8-in,-34.456426,-57.818183,34
8-in,-34.456426,-57.818183,35
8-in,-34.460713,-57.825778,36
8-in,-34.458383,-57.829158,37
8-in,-34.456359,-57.831999,38
8-in,-34.456300,-57.832148,39
8-in,-34.458042,-57.829861,40
8-in,-34.458056,-57.829833,41
8-in,-34.460072,-57.827451,42
8-in,-34.462095,-57.829068,43
8-in,-34.463548,-57.833291,44
8-in,-34.463434,-57.834795,45
8-in,-34.462639,-57.837932,46
8-in,-34.462630,-57.838002,47
8-in,-34.462632,-57.840649,48
8-in,-34.462643,-57.840681,49
8-in,-34.462801,-57.842976,50
8-in,-34.464990,-57.842945,51
8-in,-34.466622,-57.842895,52
8-in,-34.468396,-57.842817,53
8-in,-34.468448,-57.842832,54
8-in,-34.470288,-57.842790,55
8-in,-34.470360,-57.842774,56
8-in,-34.472118,-57.842722,57
8-in,-34.472197,-57.842622,58
8-in,-34.470314,-57.840376,59
8-in,-34.470399,-57.842679,60
8-in,-34.470399,-57.842679,61
8-in,-34.470431,-57.842707,62
8-in,-34.470399,-57.844657,63
8-in,-34.470487,-57.847125,64
8-in,-34.470490,-57.847166,65
